round,dataset,precision,lr,warmup,b,total_batch_d,steps,val@0,val@25,val@50,val@75,val@100,val@125,val@150,min_val,final_train_loss,diverged,gpu
1,tinyshakespeare,fp32,0.0006,15,16,524288,150,11.007517,6.2568493,5.9371343,5.5462566,5.507742,5.6111364,5.6701565,5.507742,3.993952,no,4
1,tinyshakespeare,fp32,0.0010,25,16,524288,150,11.007517,6.471952,5.900995,5.696806,5.7059627,5.780267,5.837362,5.696806,4.158387,no,5
1,tinyshakespeare,fp32,0.0014,30,16,524288,150,11.007517,6.3782945,6.035093,5.785118,5.7359977,5.772553,5.824972,5.7359977,4.216170,no,6
1,tinyshakespeare,fp32,0.0018,40,16,524288,150,11.007517,6.751754,5.9275475,5.694849,5.8679137,5.984215,6.044264,5.694849,4.124044,no,7
2,fineweb10B,fp32,0.0006,15,16,524288,150,11.008389,7.5724516,7.0573225,6.7708182,6.656307,6.595994,6.5846734,6.5846734,6.474546,no,4
2,fineweb10B,fp32,0.0010,25,16,524288,150,11.008389,7.614441,7.0262747,6.7496963,6.6284904,6.5706687,6.55873,6.55873,6.448445,no,5
2,fineweb10B,fp32,0.0014,30,16,524288,150,11.008389,7.630783,7.162957,6.9035163,6.7544303,6.6740203,6.6552644,6.6552644,6.544031,no,6
2,fineweb10B,fp32,0.0018,40,16,524288,150,11.008389,7.5921297,7.003213,6.754524,6.608078,6.5228143,6.501873,6.501873,6.391083,no,7
3,fineweb10B,fp32,0.0018,40,16,524288,150,11.008389,7.591983,7.0030146,6.754392,6.6082106,6.524466,6.503186,6.503186,6.391416,no,4
3,fineweb10B,fp32,0.0014,40,16,524288,150,11.008389,7.5797157,7.0599036,6.769519,6.62361,6.5530596,6.5362687,6.5362687,6.431208,no,5
3,fineweb10B,fp32,0.0022,50,16,524288,150,11.008389,7.644666,7.10038,6.7693606,6.6253614,6.5459695,6.524583,6.524583,6.416284,no,6
3,fineweb10B,fp32,0.0018,15,16,524288,150,11.008389,7.6040025,7.142372,6.9524927,6.8469772,6.793521,6.7812944,6.7812944,6.684297,no,7
